epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3013.06,1.19948,1.40038,1.52169,0.61886,0.46875,0.50994,0.35654,1.38166,1.73532,1.71524,0.00098525,0.00098525,0.00098525
43,3081.39,1.18137,1.36789,1.50892,0.59687,0.48958,0.50748,0.34434,1.41271,1.69049,1.73572,0.0009605,0.0009605,0.0009605
44,3149.16,1.18288,1.42672,1.52891,0.83056,0.41667,0.53435,0.3577,1.36304,1.62755,1.7313,0.00093575,0.00093575,0.00093575
45,3216.84,1.14516,1.3199,1.47381,0.70473,0.47917,0.54571,0.36843,1.41692,1.56281,1.76839,0.000911,0.000911,0.000911
46,3285.34,1.18843,1.36872,1.50078,0.64108,0.47917,0.5333,0.36251,1.36864,1.57248,1.71942,0.00088625,0.00088625,0.00088625
47,3352.86,1.15751,1.32576,1.49989,0.66345,0.5,0.5302,0.34861,1.40734,1.62373,1.7527,0.0008615,0.0008615,0.0008615
48,3421.2,1.16996,1.39211,1.52177,0.6164,0.5,0.50741,0.34541,1.36448,1.64517,1.7038,0.00083675,0.00083675,0.00083675
49,3488.94,1.10424,1.27312,1.42982,0.76869,0.48958,0.58648,0.40847,1.29776,1.4465,1.65716,0.000812,0.000812,0.000812
50,3558.05,1.1099,1.31201,1.46126,0.638,0.52083,0.5137,0.35113,1.38106,1.63026,1.70971,0.00078725,0.00078725,0.00078725
51,3631,1.0849,1.28014,1.44153,0.55684,0.52083,0.53758,0.36689,1.38734,1.5735,1.76529,0.0007625,0.0007625,0.0007625
52,3695.7,1.11954,1.26981,1.47468,0.58692,0.47364,0.49326,0.33243,1.38102,1.696,1.76338,0.00073775,0.00073775,0.00073775
53,3761.1,1.14262,1.31189,1.49004,0.63049,0.51548,0.56256,0.38772,1.28642,1.59497,1.68838,0.000713,0.000713,0.000713
54,3826.33,1.11269,1.25804,1.46143,0.68264,0.55208,0.59353,0.41963,1.37514,1.48751,1.7464,0.00068825,0.00068825,0.00068825
55,3892.91,1.12924,1.25165,1.46928,0.61295,0.41667,0.48281,0.32654,1.3854,1.70444,1.73917,0.0006635,0.0006635,0.0006635
56,3958.35,1.09404,1.2391,1.4292,0.69414,0.44792,0.53858,0.36963,1.31776,1.60413,1.68465,0.00063875,0.00063875,0.00063875
57,4023.7,1.05832,1.20771,1.40675,0.83516,0.45833,0.58112,0.39641,1.31761,1.48596,1.70731,0.000614,0.000614,0.000614
58,4088.55,1.05243,1.1857,1.42086,0.62092,0.54601,0.55412,0.38327,1.29629,1.5722,1.66611,0.00058925,0.00058925,0.00058925
59,4152.63,1.04243,1.13473,1.40135,0.70049,0.53601,0.57779,0.39307,1.34068,1.57504,1.72752,0.0005645,0.0005645,0.0005645
60,4217.17,1.02722,1.13704,1.39254,0.66939,0.55208,0.5437,0.35423,1.41347,1.61619,1.76179,0.00053975,0.00053975,0.00053975
61,4281.21,1.02184,1.08125,1.36343,0.77607,0.46875,0.55973,0.38212,1.36713,1.58143,1.74527,0.000515,0.000515,0.000515
62,4345.47,1.03214,1.1418,1.40114,0.7172,0.51042,0.58034,0.38515,1.37772,1.55692,1.7653,0.00049025,0.00049025,0.00049025
