Batch: 550 ảnh từ eval_boxes_550.csv
[ok] SS21-50432^2021_08_11_15_20_20^1234^.jpg | 1 box | u=218249px (4.4% ảnh) -> eval_masks_550/SS21-50432^2021_08_11_15_20_20^1234^.png
[ok] SS21-50526^2021-08-13_08-34-36.jpg | 1 box | u=126581px (2.5% ảnh) -> eval_masks_550/SS21-50526^2021-08-13_08-34-36.png
[ok] SS21-50526^2021_08_13_08_31_07^^.jpg | 1 box | u=141226px (2.8% ảnh) -> eval_masks_550/SS21-50526^2021_08_13_08_31_07^^.png
[ok] SS21-51288^2021_08_17_07_42_38^^.jpg | 1 box | u=770334px (15.4% ảnh) -> eval_masks_550/SS21-51288^2021_08_17_07_42_38^^.png
[ok] SS21-51288^2021_08_17_10_23_54^^.jpg | 1 box | u=266827px (5.3% ảnh) -> eval_masks_550/SS21-51288^2021_08_17_10_23_54^^.png
[ok] SS21-51362^2021_08_17_08_41_40^^.jpg | 1 box | u=347970px (7.0% ảnh) -> eval_masks_550/SS21-51362^2021_08_17_08_41_40^^.png
[ok] SS21-51386^2021_08_17_09_08_57^^.jpg | 1 box | u=76318px (1.5% ảnh) -> eval_masks_550/SS21-51386^2021_08_17_09_08_57^^.png
[ok] SS21-51386^2021_08_17_09_15_10^^.jpg | 1 box | u=140011px (2.8% ảnh) -> eval_masks_550/SS21-51386^2021_08_17_09_15_10^^.png
[ok] SS21-51391^2021_08_17_08_52_49^^.jpg | 1 box | u=138714px (2.8% ảnh) -> eval_masks_550/SS21-51391^2021_08_17_08_52_49^^.png
[ok] SS21-51996^2021_08_18_14_52_09^^.jpg | 1 box | u=130798px (2.6% ảnh) -> eval_masks_550/SS21-51996^2021_08_18_14_52_09^^.png
[ok] SS21-51996^2021_08_19_08_24_07^^.jpg | 1 box | u=140216px (2.8% ảnh) -> eval_masks_550/SS21-51996^2021_08_19_08_24_07^^.png
[ok] SS21-52058^2021-08-20_08-44-40.jpg | 1 box | u=383854px (7.7% ảnh) -> eval_masks_550/SS21-52058^2021-08-20_08-44-40.png
[ok] SS21-52269^2021_08_20_08_52_59^^.jpg | 1 box | u=36789px (0.7% ảnh) -> eval_masks_550/SS21-52269^2021_08_20_08_52_59^^.png
[ok] SS21-52885^2021_08_24_14_18_14^^.jpg | 1 box | u=96197px (1.9% ảnh) -> eval_masks_550/SS21-52885^2021_08_24_14_18_14^^.png
[ok] SS21-53442^2021_08_25_09_51_19^^.jpg | 1 box | u=365220px (7.3% ảnh) -> eval_masks_550/SS21-53442^2021_08_25_09_51_19^^.png
